number,question,a,b,c
"1","Как вы обычно готовитесь к важному решению?","Изучаю все возможные варианты","Доверяю своему внутреннему голосу","Жду, пока кто-то другой примет решение"
"2","Как вы относитесь к чужим мнениям при принятии решения?","Учитываю их серьезно","Иногда слушаю, но не всегда","Предпочитаю действовать по своему усмотрению"
"3","Как вы реагируете на неопределённость?","Стараюсь собрать больше информации","Чувствую себя некомфортно, но действую","Принимаю решение, несмотря на риски"
"4","Как часто вы пересматриваете свои решения?","Часто","Иногда","Редко"
"5","Что для вас важнее при принятии решения?","Логика и факты","Эмоциональный отклик","Интуиция"
"6","Как вы справляетесь с последствиями неверного решения?","Анализирую и учусь на ошибках","Стараюсь не думать об этом","Пробую исправить ситуацию"
"7","Как вы выбираете между несколькими альтернативами?","Оцениваю все плюсы и минусы","Слушаю советы других","Выбираю ту, что кажется наиболее привлекательной"
"8","Как вы относитесь к долгосрочным обязательствам?","Предпочитаю краткосрочные","Оцениваю их тщательно","Люблю стабильность и долгосрочные обязательства"
"9","Как вы принимаете решения в кризисных ситуациях?","Очень быстро, основываясь на фактах","Принимаю время на раздумья","Следую своей интуиции"
"10","Как вы относитесь к неудачам?","Учусь на них","Чувствую себя подавленным","Стараюсь двигаться дальше"
"11","Как вы принимаете решения в группе?","Слушаю всех участников","Стараюсь найти компромисс","Беру на себя ответственность за решение"
"12","Как вы обращаетесь с конфликтующими желаниями?","Ищу решение, которое удовлетворит всех","Принимаю решение, основываясь на своих потребностях","Откладываю решение на потом"
"13","Как вы справляетесь с давлением окружающих?","Уверенно отстаиваю свою позицию","Прислушиваюсь, но принимаю решение самостоятельно","Чувствую себя неуверенно и поддаюсь давлению"
"14","Как вы воспринимаете изменения в своей жизни?","Как возможность для роста","Как источник стресса","Как неизбежность"
"15","Как вы выбираете, с кем обсуждать важные решения?","С людьми, которые мне доверяют","С теми, кто может дать совет","С любым знакомым"
"16","Как вы чувствуете себя после принятия решения?","Уверенно","Нервно","Безразлично"
"17","Как вы принимаете решения в новых ситуациях?","Изучаю, что говорят другие","Действую интуитивно","Жду, пока кто-то другой примет решение"
"18","Как вы относитесь к риску при принятии решений?","Избегаю риска","Принимаю, если есть ясная выгода","Люблю рисковать"
"19","Как вы оцениваете успешность своего решения?","По результатам","По реакции окружающих","По собственному ощущению"
"20","Как вы относитесь к времени, затрачиваемому на принятие решения?","Время — важный фактор, нужно подумать","Не люблю тратить время на раздумья","Время не имеет значения"