number,question,a,b,c,d,e
"1","Есть ли в компании прозрачная система KPI и премирования?","Отсутствует","Частично присутствует","Присутствует иногда","Работает часто","Отлично работает"
"2","Используются ли нематериальные методы поощрения (благодарности, доски почета)?","Отсутствует","Частично присутствует","Присутствует иногда","Работает часто","Отлично работает"
"3","Проводятся ли опросы сотрудников об их удовлетворенности мотивацией?","Отсутствует","Частично присутствует","Присутствует иногда","Работает часто","Отлично работает"
"4","Предлагаются ли программы обучения и развития за счет компании?","Отсутствует","Частично присутствует","Присутствует иногда","Работает часто","Отлично работает"
"5","Есть ли возможность карьерного роста для рядовых сотрудников?","Отсутствует","Частично присутствует","Присутствует иногда","Работает часто","Отлично работает"
"6","Используется ли геймификация (баллы, рейтинги, соревнования)?","Отсутствует","Частично присутствует","Присутствует иногда","Работает часто","Отлично работает"
"7","Доступны ли корпоративные бонусы (ДМС, абонементы, скидки)?","Отсутствует","Частично присутствует","Присутствует иногда","Работает часто","Отлично работает"
"8","Учитываются ли личные достижения (например, 'Лучший сотрудник месяца')?","Отсутствует","Частично присутствует","Присутствует иногда","Работает часто","Отлично работает"
"9","Есть ли программа лояльности для долгосрочных сотрудников?","Отсутствует","Частично присутствует","Присутствует иногда","Работает часто","Отлично работает"
"10","Адаптируется ли мотивация под разные поколения (X, Y, Z)?","Отсутствует","Частично присутствует","Присутствует иногда","Работает часто","Отлично работает"